Surat,Ayat,Teks,processed_advanced,processed_no_stem,processed_minimal
28,29,"Maka, ketika Musa telah menyelesaikan waktu yang ditentukan itu dan berangkat dengan istrinya,) dia melihat api di lereng gunung. Dia berkata kepada keluarganya, “Tunggulah (di sini). Sesungguhnya aku melihat api. Mudah-mudahan aku dapat membawa suatu berita kepadamu dari (tempat) api itu atau (membawa) sepercik api agar kamu dapat menghangatkan badan (dekat api).”",musa selesai waktu tentu berangkat istri lihat api lereng gunung keluarga tunggu lihat api mudah mudah bawa berita kepada api percik api hangat badan,musa menyelesaikan waktu ditentukan berangkat istrinya melihat api lereng gunung keluarganya tunggulah melihat api mudah mudahan membawa berita kepadamu api sepercik api menghangatkan badan,maka ketika musa telah menyelesaikan waktu yang ditentukan itu dan berangkat dengan istrinya dia melihat api di lereng gunung dia berkata kepada keluarganya tunggulah sesungguhnya aku melihat api mudah mudahan aku dapat membawa suatu berita kepadamu dari api itu atau sepercik api agar kamu dapat menghangatkan badan
28,30,"Maka, ketika dia (Musa) mendatangi (api) itu, dia dipanggil dari pinggir lembah di sebelah kanan (Musa) dari (arah) pohon di sebidang tanah yang diberkahi. “Wahai Musa, sesungguhnya Aku adalah Allah, Tuhan semesta alam.)",datang dia panggil pinggir lembah belah kanan pohon bidang tanah kah wahai musa semesta alam,mendatangi dia dipanggil pinggir lembah sebelah kanan pohon sebidang tanah diberkahi wahai musa semesta alam,maka ketika dia mendatangi itu dia dipanggil dari pinggir lembah di sebelah kanan dari pohon di sebidang tanah yang diberkahi wahai musa sesungguhnya aku adalah allah tuhan semesta alam
28,31,"Lemparkanlah tongkatmu!” Maka, ketika dia (Musa) melihatnya bergerak-gerak seperti seekor ular kecil yang gesit, dia lari berbalik ke belakang tanpa menoleh. (Allah berfirman,) “Wahai Musa, kemarilah dan jangan takut! Sesungguhnya engkau termasuk orang-orang yang aman.)",lempar tongkat lihat gerak gerak ekor ular kecil gesit lari balik belakang toleh wahai musa kemari jangan takut masuk aman,lemparkanlah tongkatmu melihatnya bergerak gerak seekor ular kecil gesit lari berbalik belakang menoleh wahai musa kemarilah jangan takut termasuk aman,lemparkanlah tongkatmu maka ketika dia melihatnya bergerak gerak seperti seekor ular kecil yang gesit dia lari berbalik ke belakang tanpa menoleh wahai musa kemarilah dan jangan takut sesungguhnya engkau termasuk orang orang yang aman
28,32,"Masukkanlah tanganmu ke leher bajumu, ia akan keluar (dalam keadaan bercahaya) putih bukan karena cacat. Dekapkanlah kedua tanganmu jika engkau takut. Itulah dua mukjizat dari Tuhanmu (yang akan engkau tunjukkan) kepada Firʻaun dan para pembesarnya. Sesungguhnya mereka adalah kaum yang fasik.”",masuk tangan leher baju keluar putih cacat dekap dua tangan takut dua mukjizat tuhan fir aun besar kaum fasik,masukkanlah tanganmu leher bajumu keluar putih cacat dekapkanlah kedua tanganmu takut dua mukjizat tuhanmu firʻaun pembesarnya kaum fasik,masukkanlah tanganmu ke leher bajumu ia akan keluar putih bukan karena cacat dekapkanlah kedua tanganmu jika engkau takut itulah dua mukjizat dari tuhanmu kepada firʻaun dan para pembesarnya sesungguhnya mereka adalah kaum yang fasik
28,33,"(Musa) berkata, “Ya Tuhanku, sesungguhnya aku telah membunuh seseorang dari mereka sehingga aku takut mereka akan membunuhku.",tuhan bunuh orang takut bunuh,tuhanku membunuh seseorang takut membunuhku,berkata ya tuhanku sesungguhnya aku telah membunuh seseorang dari mereka sehingga aku takut mereka akan membunuhku
28,34,"Adapun saudaraku Harun, dia lebih fasih lidahnya daripadaku.) Maka, utuslah dia bersamaku sebagai pembantuku untuk membenarkan (perkataan)-ku. Sesungguhnya aku takut mereka akan mendustakanku.”",adapun saudara harun fasih lidah daripada utus sama bantu benar takut dusta,adapun saudaraku harun fasih lidahnya daripadaku utuslah bersamaku pembantuku membenarkan takut mendustakanku,adapun saudaraku harun dia lebih fasih lidahnya daripadaku maka utuslah dia bersamaku sebagai pembantuku untuk membenarkan ku sesungguhnya aku takut mereka akan mendustakanku
28,35,"Dia (Allah) berfirman, “Kami akan menguatkanmu dengan saudaramu dan Kami akan berikan kepadamu berdua hujah (mukjizat). Maka, mereka tidak akan dapat mencapaimu. (Berangkatlah kamu berdua) dengan membawa mukjizat Kami. Kamu berdua dan orang yang mengikutimu adalah para pemenang.”",kuat saudara ikan kepada dua hujah capa bawa mukjizat dua ikut menang,menguatkanmu saudaramu berikan kepadamu berdua hujah mencapaimu membawa mukjizat berdua mengikutimu pemenang,dia berfirman kami akan menguatkanmu dengan saudaramu dan kami akan berikan kepadamu berdua hujah maka mereka tidak akan dapat mencapaimu dengan membawa mukjizat kami kamu berdua dan orang yang mengikutimu adalah para pemenang
28,36,"Ketika Musa mendatangi mereka (Firʻaun dan pengikutnya) dengan (membawa) mukjizat Kami yang nyata, mereka berkata, “Ini hanyalah sihir yang dibuat-buat dan kami tidak pernah mendengar (ajakan) ini dari nenek moyang kami dahulu.”",musa datang mukjizat nyata hanya sihir buat buat pernah dengar nenek moyang,musa mendatangi mukjizat nyata hanyalah sihir dibuat buat pernah mendengar nenek moyang,ketika musa mendatangi mereka dengan mukjizat kami yang nyata mereka berkata ini hanyalah sihir yang dibuat buat dan kami tidak pernah mendengar ini dari nenek moyang kami dahulu
28,37,"Musa menjawab, “Tuhanku lebih mengetahui siapa yang (pantas) membawa petunjuk dari sisi-Nya dan siapa yang akan mendapat kesudahan (yang baik) di akhirat. Sesungguhnya orang-orang zalim itu tidak beruntung.”",musa jawab tuhan tahu siapa bawa tunjuk sisi siapa dapat sudah akhirat zalim untung,musa menjawab tuhanku mengetahui siapa membawa petunjuk sisi siapa mendapat kesudahan akhirat zalim beruntung,musa menjawab tuhanku lebih mengetahui siapa yang membawa petunjuk dari sisi nya dan siapa yang akan mendapat kesudahan di akhirat sesungguhnya orang orang zalim itu tidak beruntung
28,38,"Firʻaun berkata, “Wahai para pembesar, aku tidak mengetahui ada Tuhan bagimu selainku. Wahai Haman, bakarlah tanah liat untukku (untuk membuat batu bata), kemudian buatkanlah bangunan yang tinggi untukku agar aku dapat naik melihat Tuhannya Musa! Sesungguhnya aku yakin bahwa dia termasuk para pendusta.”",fir aun wahai besar tahu bagi selain wahai ham bakar tanah liat untuk buat bangun tinggi untuk naik lihat tuhan musa yakin dia masuk dusta,firʻaun wahai pembesar mengetahui bagimu selainku wahai haman bakarlah tanah liat untukku buatkanlah bangunan tinggi untukku naik melihat tuhannya musa yakin dia termasuk pendusta,firʻaun berkata wahai para pembesar aku tidak mengetahui ada tuhan bagimu selainku wahai haman bakarlah tanah liat untukku kemudian buatkanlah bangunan yang tinggi untukku agar aku dapat naik melihat tuhannya musa sesungguhnya aku yakin bahwa dia termasuk para pendusta
28,39,Dia (Firʻaun) dan bala tentaranya bersikap sombong di bumi tanpa (alasan yang) benar. Mereka mengira bahwa sesungguhnya mereka tidak akan dikembalikan kepada Kami.,bala tentara sikap sombong bumi benar ira kembali,bala tentaranya bersikap sombong bumi benar mengira dikembalikan,dia dan bala tentaranya bersikap sombong di bumi tanpa benar mereka mengira bahwa sesungguhnya mereka tidak akan dikembalikan kepada kami
28,40,Kami menghukum dia (Firʻaun) dan bala tentaranya. Kami menenggelamkan mereka ke dalam laut. Perhatikanlah bagaimana kesudahan orang-orang zalim.,hukum bala tentara tenggelam laut perhati sudah zalim,menghukum bala tentaranya menenggelamkan laut perhatikanlah kesudahan zalim,kami menghukum dia dan bala tentaranya kami menenggelamkan mereka ke dalam laut perhatikanlah bagaimana kesudahan orang orang zalim
28,41,Kami menjadikan mereka (Firʻaun dan bala tentaranya) para pemimpin yang mengajak (manusia) ke neraka. Pada hari Kiamat mereka tidak akan ditolong.,jadi pimpin ajak neraka hari kiamat tolong,menjadikan pemimpin mengajak neraka hari kiamat ditolong,kami menjadikan mereka para pemimpin yang mengajak ke neraka pada hari kiamat mereka tidak akan ditolong
28,42,Kami memperikutkan laknat kepada mereka di dunia ini dan pada hari Kiamat mereka termasuk orang-orang yang dijauhkan (dari rahmat Allah).,ikut laknat dunia hari kiamat masuk jauh,memperikutkan laknat dunia hari kiamat termasuk dijauhkan,kami memperikutkan laknat kepada mereka di dunia ini dan pada hari kiamat mereka termasuk orang orang yang dijauhkan
28,43,"Sungguh, Kami benar-benar menganugerahkan kepada Musa Kitab (Taurat) setelah Kami membinasakan generasi terdahulu sebagai penerang, petunjuk, dan rahmat bagi manusia agar mereka mendapat pelajaran.",benar benar anugerah musa kitab binasa generasi dahulu terang tunjuk rahmat manusia dapat ajar,benar benar menganugerahkan musa kitab membinasakan generasi terdahulu penerang petunjuk rahmat manusia mendapat pelajaran,sungguh kami benar benar menganugerahkan kepada musa kitab setelah kami membinasakan generasi terdahulu sebagai penerang petunjuk dan rahmat bagi manusia agar mereka mendapat pelajaran
28,44,Engkau (Nabi Muhammad) tidak berada di sebelah barat (lembah suci Tuwa) ketika Kami menyampaikan risalah kepada Musa. Engkau tidak (pula) termasuk orang-orang yang menyaksikan (kejadian itu).,ada belah barat sampai risalah musa masuk saksi,berada sebelah barat menyampaikan risalah musa termasuk menyaksikan,engkau tidak berada di sebelah barat ketika kami menyampaikan risalah kepada musa engkau tidak termasuk orang orang yang menyaksikan
28,45,"Akan tetapi, Kami telah menciptakan beberapa umat dan telah berlalu atas mereka masa yang panjang. Engkau (Nabi Muhammad) tidak pula tinggal bersama-sama penduduk Madyan, (sehingga dapat) membacakan ayat-ayat Kami kepada mereka. Akan tetapi, Kamilah pengutus (para rasul).",cipta umat lalu atas masa panjang pula tinggal sama sama duduk madyan baca ayat ayat kami utus,menciptakan umat berlalu atas masa panjang pula tinggal bersama sama penduduk madyan membacakan ayat ayat kamilah pengutus,akan tetapi kami telah menciptakan beberapa umat dan telah berlalu atas mereka masa yang panjang engkau tidak pula tinggal bersama sama penduduk madyan membacakan ayat ayat kami kepada mereka akan tetapi kamilah pengutus
28,46,"Engkau (Nabi Muhammad) tidak pula berada di dekat gunung (Sinai) ketika Kami memanggil (Musa). Akan tetapi, (engkau mengetahuinya) semata-mata karena rahmat dari Tuhanmu agar engkau memberi peringatan kepada kaum yang belum didatangi oleh seorang pun pemberi peringatan sebelum engkau agar mereka mendapat pelajaran.",pula ada dekat gunung panggil semata mata rahmat tuhan beri ingat kaum datang orang beri ingat dapat ajar,pula berada dekat gunung memanggil semata mata rahmat tuhanmu memberi peringatan kaum didatangi seorang pemberi peringatan mendapat pelajaran,engkau tidak pula berada di dekat gunung ketika kami memanggil akan tetapi semata mata karena rahmat dari tuhanmu agar engkau memberi peringatan kepada kaum yang belum didatangi oleh seorang pun pemberi peringatan sebelum engkau agar mereka mendapat pelajaran
28,47,"Seandainya saja saat ditimpa azab karena apa yang mereka kerjakan mereka tidak berdalih dengan mengatakan, “Ya Tuhan kami, mengapa Engkau tidak mengutus seorang rasul kepada kami agar kami mengikuti ayat-ayat-Mu dan termasuk orang-orang mukmin?” (Maka, tidak akan ada rasul yang diutus.)",anda timpa azab kerja dalih mengapa utus orang rasul ikut ayat ayat masuk mukmin,seandainya ditimpa azab kerjakan berdalih mengapa mengutus seorang rasul mengikuti ayat ayat termasuk mukmin,seandainya saja saat ditimpa azab karena apa yang mereka kerjakan mereka tidak berdalih dengan mengatakan ya tuhan kami mengapa engkau tidak mengutus seorang rasul kepada kami agar kami mengikuti ayat ayat mu dan termasuk orang orang mukmin
28,48,"Ketika telah datang kepada mereka kebenaran (Al-Qur’an) dari sisi Kami, mereka berkata, “Mengapa tidak diberikan kepadanya (Nabi Muhammad mukjizat) seperti apa yang telah diberikan kepada Musa?” Bukankah mereka itu telah ingkar kepada apa yang diberikan kepada Musa dahulu? Mereka berkata, “(Al-Qur’an dan Taurat adalah) dua (kitab) sihir yang saling menguatkan.” Mereka (juga) berkata, “Sesungguhnya kami mengingkari keduanya.”",datang benar sisi beri kepada beri musa bukankah ingkar beri musa sihir saling kuat ingkar dua,datang kebenaran sisi diberikan kepadanya diberikan musa bukankah ingkar diberikan musa sihir saling menguatkan mengingkari keduanya,ketika telah datang kepada mereka kebenaran dari sisi kami mereka berkata mengapa tidak diberikan kepadanya seperti apa yang telah diberikan kepada musa bukankah mereka itu telah ingkar kepada apa yang diberikan kepada musa dahulu mereka berkata dua sihir yang saling menguatkan mereka berkata sesungguhnya kami mengingkari keduanya
28,49,"Katakanlah (Nabi Muhammad), “Datangkanlah sebuah kitab dari sisi Allah yang lebih banyak memberi petunjuk daripada keduanya (Taurat dan Al-Qur’an), niscaya aku mengikutinya, jika kamu orang-orang benar.”",kata datang kitab sisi beri tunjuk dua niscaya ikut benar,katakanlah datangkanlah kitab sisi memberi petunjuk keduanya niscaya mengikutinya benar,katakanlah datangkanlah sebuah kitab dari sisi allah yang lebih banyak memberi petunjuk daripada keduanya niscaya aku mengikutinya jika kamu orang orang benar
28,50,"Jika mereka tidak menjawab (tantanganmu), ketahuilah bahwa mereka hanyalah mengikuti hawa nafsu mereka. Siapakah yang lebih sesat daripada orang yang mengikuti keinginannya tanpa mendapat petunjuk dari Allah? Sesungguhnya Allah tidak memberi petunjuk kepada kaum yang zalim.",jawab tahu hanya ikut hawa nafsu siapa sesat ikut ingin dapat tunjuk beri tunjuk kaum zalim,menjawab ketahuilah hanyalah mengikuti hawa nafsu siapakah sesat mengikuti keinginannya mendapat petunjuk memberi petunjuk kaum zalim,jika mereka tidak menjawab ketahuilah bahwa mereka hanyalah mengikuti hawa nafsu mereka siapakah yang lebih sesat daripada orang yang mengikuti keinginannya tanpa mendapat petunjuk dari allah sesungguhnya allah tidak memberi petunjuk kepada kaum yang zalim
28,51,"Sungguh, Kami benar-benar telah menurunkan perkataan itu (Al-Qur’an) secara berkesinambungan untuk mereka agar selalu mengingat(-nya).",benar benar turun kata sambung selalu ingat,benar benar menurunkan perkataan berkesinambungan selalu mengingat,sungguh kami benar benar telah menurunkan perkataan itu secara berkesinambungan untuk mereka agar selalu mengingat
28,52,"Orang-orang yang telah Kami anugerahkan kepada mereka Alkitab sebelum Al-Qur’an, mereka beriman (pula) kepadanya (Al-Qur’an).",anugerah alkitab qur iman kepada,anugerahkan alkitab qur beriman kepadanya,orang orang yang telah kami anugerahkan kepada mereka alkitab sebelum al qur an mereka beriman kepadanya
28,53,"Apabila (Al-Qur’an) dibacakan kepada mereka, mereka berkata, “Kami beriman kepadanya. Sesungguhnya (Al-Qur’an) itu adalah suatu kebenaran dari Tuhan kami. Sesungguhnya sebelum ini kami adalah orang-orang muslim.”",apabila baca iman kepada benar muslim,apabila dibacakan beriman kepadanya kebenaran muslim,apabila dibacakan kepada mereka mereka berkata kami beriman kepadanya sesungguhnya itu adalah suatu kebenaran dari tuhan kami sesungguhnya sebelum ini kami adalah orang orang muslim
28,54,Mereka itu diberi pahala dua kali (pahala beriman pada Taurat dan Al-Qur’an) disebabkan kesabaran mereka. Mereka menolak kejahatan dengan kebaikan dan menginfakkan sebagian rezeki yang telah Kami anugerahkan kepada mereka.,beri pahala kali sebab sabar tolak jahat baik infak bagi rezeki anugerah,diberi pahala kali disebabkan kesabaran menolak kejahatan kebaikan menginfakkan sebagian rezeki anugerahkan,mereka itu diberi pahala dua kali disebabkan kesabaran mereka mereka menolak kejahatan dengan kebaikan dan menginfakkan sebagian rezeki yang telah kami anugerahkan kepada mereka
28,55,"Apabila mendengar perkataan yang buruk, mereka berpaling darinya dan berkata, “Bagi kami amal-amal kami dan bagimu amal-amalmu, salāmun ‘alaikum (semoga keselamatan tercurah kepadamu), kami tidak ingin (bergaul dengan) orang-orang bodoh.”",apabila dengar kata buruk paling dari amal amal bagi amal amal sal mun alaikum bodoh,apabila mendengar perkataan buruk berpaling darinya amal amal bagimu amal amalmu salāmun alaikum bodoh,apabila mendengar perkataan yang buruk mereka berpaling darinya dan berkata bagi kami amal amal kami dan bagimu amal amalmu salāmun alaikum kami tidak ingin orang orang bodoh
